lact	lp	group	speed	pexp	phalf	pintmean	pintmedian
 100 0 1 0.2049917       NA 8.535429 452.6316 250 0.8619383
 100 0 2 0.2022251 2.647648 8.568796 390.4464 250 0.8538503
 100 0 3 0.1985206 3.379633 9.146809 417.0433 250 0.8615692
 100 0 4 0.2043235 2.916331 8.761233 430.7767 300 0.8619220
 100 0 5 0.2001996 2.864969 8.745991 412.5933 250 0.8640653
 100 0 6 0.1998619 3.272705 9.065117 456.3265 300 0.8637681
 200 0 1 0.6590284 2.277054 8.167513 110.3036 50 0.4919397
 200 0 2 0.6750994 2.085329 8.016734 108.9693 50 0.4846497
 200 0 3 0.6590997 2.059682 7.985011 109.7458 50 0.4904655
 200 0 4 0.6960619 1.972350 7.956276 107.3515 50 0.4721281
 200 0 5 0.6765639 1.861125 7.883050 109.7918 50 0.4738714
 200 0 6 0.6447963 2.052303 7.988156 113.0656 50 0.4962233
 600 0 1 1.418495 2.312672 7.965949 73.23645 50 0.2936488
 600 0 2 1.389792 2.506465 8.126682 73.94504 50 0.2914369
 600 0 3 1.411606 2.417088 8.076153 73.85803 50 0.2933990
 600 0 4 1.411661 2.372303 7.964067 74.14707 50 0.2916884
 600 0 5 1.416273 2.403103 8.061605 74.50133 50 0.2918543
 600 0 6 1.393885 2.357539 8.008895 73.78271 50 0.2934322
 800 0 1 1.551969 2.360283 7.800163 72.29092 50 0.2799306
 800 0 2 1.572921 2.300261 7.746337 72.93848 50 0.2796914
 800 0 3 1.555883 2.346826 7.783836 71.86895 50 0.2792697
 800 0 4 1.588562 2.326402 7.779401 72.67822 50 0.2804170
 800 0 5 1.579777 2.296582 7.731612 72.01540 50 0.2795056
 800 0 6 1.562182 2.316251 7.691717 70.39746 50 0.2783443
 1000 0 1 1.697122 2.199771 7.480803 70.39285 50 0.2695800
 1000 0 2 1.681812 2.239746 7.464093 71.16555 50 0.2687190
 1000 0 3 1.676145       NA 7.435727 70.23011 50 0.2689548
 1000 0 4 1.655354       NA 7.528340 71.02236 50 0.2697117
 1000 0 5 1.685522 2.219605 7.465578 71.08047 50 0.2702099
 1000 0 6 1.685381       NA 7.457845 71.13600 50 0.2693593
 1200 0 1 1.754066 2.237684 7.312603 70.51609 50 0.2606672
 1200 0 2 1.753960 2.178155 7.248497 70.16793 50 0.2616449
 1200 0 3 1.756538 2.190527 7.266901 69.44008 50 0.2610269
 1200 0 4 1.761684 2.205083 7.249671 70.35737 50 0.2601657
 1200 0 5 1.758146 2.154969 7.210756 70.66302 50 0.2616179
 1200 0 6 1.755977 2.130490 7.167082 71.41473 50 0.2617820
 1400 0 1 1.844247 2.080459 6.957648 68.63693 50 0.2542696
 1400 0 2 1.823027 2.081262 6.967431 69.77934 50 0.2538430
 1400 0 3 1.834484 2.105926 6.977016 68.72434 50 0.2544029
 1400 0 4 1.819987 2.056117 6.980518 68.56061 50 0.2554354
 1400 0 5 1.834344 2.104177 7.037852 69.44270 50 0.2552585
 1400 0 6 1.801897 2.061186 6.973429 69.03195 50 0.2547821
 100 0.5 1 0.07548081 113.0311 55.67084 84.13856 50 0.9999970
 100 0.5 2 0.07597192 136.5295 60.21182 85.79186 50 0.9999965
 100 0.5 3 0.07611263 133.4599 59.79644 85.07529 50 0.9999974
 100 0.5 4 0.07625922 133.6182 59.52602 87.52260 50 0.9999970
 100 0.5 5 0.07657852 134.6438 61.54208 87.80710 50 0.9999962
 100 0.5 6 0.07615917 131.0793 60.10338 88.02752 50 0.9999967
 200 0.5 1 0.1179950 125.3475 90.11483 169.6162 150 0.9996285
 200 0.5 2 0.1193028 123.9268 91.91195 170.8422 150 0.9999823
 200 0.5 3 0.1208864 129.9311 92.44549 171.9317 150 0.9993273
 200 0.5 4 0.1174868 117.6832 89.60376 168.4017 150 0.9999757
 200 0.5 5 0.1216298 125.7035 94.74798 174.8922 150 0.9995956
 200 0.5 6 0.1197475 133.9142 92.47145 171.5122 150 0.9996519
 600 0.5 1 0.4317157 1880.776 14.67492 1054.9784 200 0.9132625
 600 0.5 2 0.4318012 1596.608 13.59363 1032.2034 200 0.9141453
 600 0.5 3 0.4289133 3021.732 16.25554 1212.6866 200 0.9221678
 600 0.5 4 0.4279785 1675.944 14.41916 1031.4894 150 0.9133991
 600 0.5 5 0.4274055 1512.166 12.97101  903.5316 200 0.9011561
 600 0.5 6 0.4321711 1844.578 12.78516  911.4232 150 0.9117351
 800 0.5 1 0.4988686 1.494160 7.650647 303.2953 100 0.6837594
 800 0.5 2 0.5094459       NA 7.713931 312.9845 100 0.6767923
 800 0.5 3 0.5002586       NA 7.477514 363.2836 100 0.6930494
 800 0.5 4 0.4919172       NA 8.196039 389.9031 100 0.7228228
 800 0.5 5 0.4961747 2.198701 8.223780 366.4894 100 0.7318641
 800 0.5 6 0.4882174 2.141455 8.123059 351.1645 100 0.7004194
 1000 0.5 1 0.5321728       NA 8.334412 293.4889 100 0.6797115
 1000 0.5 2 0.5551343       NA 7.802187 302.1277 100 0.6938244
 1000 0.5 3 0.5341678 2.067272 8.135915 306.6411 100 0.6715494
 1000 0.5 4 0.5341622 2.487801 8.479169 320.6827 100 0.6985908
 1000 0.5 5 0.5475990 2.091906 8.138601 301.3767 100 0.6952883
 1000 0.5 6 0.5591597 1.887949 7.864015 256.8303 100 0.6618374
 1200 0.5 1 0.5671327 2.567193 8.482432 271.4367 100 0.6644613
 1200 0.5 2 0.5722691 2.137351 8.122832 288.6007 100 0.6490479
 1200 0.5 3 0.5829958       NA 8.069148 253.7686 100 0.6401460
 1200 0.5 4 0.5629003 2.321240 8.359153 317.7763 100 0.6825649
 1200 0.5 5 0.5783159 2.098510 8.123086 243.0928 100 0.6723688
 1200 0.5 6 0.5727702 2.418429 8.463972 282.7771 100 0.7003643
 1400 0.5 1 0.6078586       NA 8.074885 224.8808 100 0.6275688
 1400 0.5 2 0.5990696 2.484953 8.407505 231.9390 100 0.6549051
 1400 0.5 3 0.5810875 2.536344 8.517190 225.9314 100 0.6586032
 1400 0.5 4 0.6049677 2.267628 8.223281 209.3023 100 0.6566380
 1400 0.5 5 0.5828526       NA 8.429217 251.8201 100 0.6476127
 1400 0.5 6 0.5767979 2.423925 8.436502 232.5523 100 0.6557075
 100 1 1 0.06826505 102.65117 48.00198 76.93989 50 0.9999980
 100 1 2 0.06884201 115.38467 50.17727 76.56748 50 0.9999980
 100 1 3 0.06813262        NA 48.03486 77.09713 50 0.9999971
 100 1 4 0.06939639 110.29949 48.92327 78.22581 50 0.9999970
 100 1 5 0.06726756  89.69337 45.05611 74.24412 50 0.9999988
 100 1 6 0.06876583 107.74280 48.74355 76.73056 50 0.9999979
 200 1 1 0.1089905 138.7044 87.70047 136.1592 100 0.9999892
 200 1 2 0.1081020 143.0083 87.41321 134.1442 100 0.9999899
 200 1 3 0.1092814 135.2038 87.15523 133.9422 100 0.9999901
 200 1 4 0.1087280 143.8659 86.86986 131.9031 100 0.9999892
 200 1 5 0.1080082 135.1236 83.92086 132.3732 100 0.9999892
 200 1 6 0.1108201 161.9486 93.20023 136.7941 100 0.9999869
 600 1 1 0.2977723  738.3609 517.1874 1015.7080 650 0.9958865
 600 1 2 0.3075496 1027.7540 599.5062 1200.2564 750 0.9959778
 600 1 3 0.2903936  832.5620 512.8032  870.8812 450 0.9971964
 600 1 4 0.2980862 1037.1291 591.6377 1023.8938 550 0.9983185
 600 1 5 0.2947245  853.1015 540.3473  972.4576 525 0.9973730
 600 1 6 0.2992099  946.9054 624.6642 1040.9910 525 0.9972003
 800 1 1 0.3967595 5361.207 3552.089 6521.053 2525 0.9923811
