lact	mact	group	speed	pexp	phalf	pintmean	pintmedian
 50 30 1 0.03607933 8.572638 11.21592 NA NA
 50 30 2 0.03602321 8.141328 11.16186 NA NA
 50 30 3 0.03603091 8.234826 11.24377 NA NA
 50 30 4 0.03604532 7.876726 11.06566 NA NA
 50 30 5 0.03637433 8.869121 11.29102 NA NA
 50 30 6 0.03623017 8.757994 11.33435 NA NA
 100 30 1 0.05018325 54.29445 36.28194 NA NA
 100 30 2 0.05057713 56.05744 38.28188 NA NA
 100 30 3 0.05085307 57.63446 38.39525 NA NA
 100 30 4 0.04960953 55.07118 36.24217 NA NA
 100 30 5 0.05047395 55.06786 37.23246 NA NA
 100 30 6 0.05022572 56.52861 37.56169 NA NA
 200 30 1 0.08733243 77.05659 66.00586 NA NA
 200 30 2 0.08772961 78.11431 66.03070 NA NA
 200 30 3 0.08802157 76.46703 66.18095 NA NA
 200 30 4 0.08852824 77.03167 65.83804 NA NA
 200 30 5 0.08880090 77.66854 67.12978 NA NA
 200 30 6 0.08720981 76.43365 66.06935 NA NA
 300 30 1 0.1276572 129.8795 100.12055 NA NA
 300 30 2 0.1273893 133.3391 102.36319 NA NA
 300 30 3 0.1279359 125.0260  98.00975 NA NA
 300 30 4 0.1262669 130.3792  99.94207 NA NA
 300 30 5 0.1271839 131.1099 101.71530 NA NA
 300 30 6 0.1277666 132.7407 102.13228 NA NA
 400 30 1 0.1612304 253.7822 162.7693 NA NA
 400 30 2 0.1622632 234.1501 158.2820 NA NA
 400 30 3 0.1614558 225.9880 153.6918 NA NA
 400 30 4 0.1657864 271.8577 170.9631 NA NA
 400 30 5 0.1639114 272.0394 165.5853 NA NA
 400 30 6 0.1626225 240.2688 158.2109 NA NA
 500 30 1 0.1823318 306.7563 189.4740 NA NA
 500 30 2 0.1815116 309.1577 181.8789 NA NA
 500 30 3 0.1838838 337.2812 199.7072 NA NA
 500 30 4 0.1859996 407.7066 242.2362 NA NA
 500 30 5 0.1818716 345.4144 208.1386 NA NA
 500 30 6 0.1810813 326.5440 195.2759 NA NA
 700 30 1 0.2057237 345.0771 199.1195 NA NA
 700 30 2 0.2045262 381.7949 207.5445 NA NA
 700 30 3 0.2054402 388.5074 208.2364 NA NA
 700 30 4 0.2034755 406.4520 219.4725 NA NA
 700 30 5 0.2042671 373.1154 199.6546 NA NA
 700 30 6 0.2055090 360.9908 207.8022 NA NA
 1000 30 1 0.2261518 316.5526 169.5532 NA NA
 1000 30 2 0.2281290 329.5738 179.7463 NA NA
 1000 30 3 0.2255585 284.8351 160.5779 NA NA
 1000 30 4 0.2272822 313.5504 169.7602 NA NA
 1000 30 5 0.2261524 314.9461 157.3991 NA NA
 1000 30 6 0.2251634 310.2970 164.2146 NA NA
 50 40 1 0.03966512 39.27910 16.79682 NA NA
 50 40 2 0.03982505 40.25477 16.86969 NA NA
 50 40 3 0.03949572 38.84006 16.53624 NA NA
 50 40 4 0.03948135 38.89708 16.62339 NA NA
 50 40 5 0.03970477 39.15800 16.55702 NA NA
 50 40 6 0.03960386 39.15503 16.70890 NA NA
 75 40 1 0.05153872 77.29238 51.50113 NA NA
 75 40 2 0.05089962 76.82899 50.02190 NA NA
 75 40 3 0.05167974 77.56779 51.52654 NA NA
 75 40 4 0.05050676 77.21845 50.03142 NA NA
 75 40 5 0.05049415 75.05222 48.51192 NA NA
 75 40 6 0.05142808 76.20472 51.10421 NA NA
 100 40 1 0.06417237 92.88343 72.34528 NA NA
 100 40 2 0.06305434 91.59670 70.84951 NA NA
 100 40 3 0.06416837 92.60540 72.33581 NA NA
 100 40 4 0.06458537 93.42583 72.34784 NA NA
 100 40 5 0.06321431 90.88183 70.30522 NA NA
 100 40 6 0.06333331 92.03774 70.29828 NA NA
 150 40 1 0.09103824 139.2511 106.7114 NA NA
 150 40 2 0.09119917 139.4736 105.1256 NA NA
 150 40 3 0.09180172 136.6123 106.1063 NA NA
 150 40 4 0.09154109 139.6714 106.1220 NA NA
 150 40 5 0.09151211 140.1579 108.7468 NA NA
 150 40 6 0.09021811 138.9989 105.9410 NA NA
 200 40 1 0.1232477 293.3869 202.0233 NA NA
 200 40 2 0.1223301 300.2676 202.4368 NA NA
 200 40 3 0.1210078 271.7614 182.0472 NA NA
 200 40 4 0.1209151 278.5926 184.6164 NA NA
 200 40 5 0.1218372 255.2431 181.0357 NA NA
 200 40 6 0.1233514 314.5936 203.5719 NA NA
 250 40 1 0.1488127 765.5305 449.6503 NA NA
 250 40 2 0.1471459 745.9533 404.3690 NA NA
 250 40 3 0.1456887 550.2325 348.6701 NA NA
 250 40 4 0.1472994 702.5114 425.2034 NA NA
 250 40 5 0.1462033 620.5008 380.5141 NA NA
 250 40 6 0.1485866 859.3915 472.6463 NA NA
 300 40 1 0.1590657 1122.8694 656.5952 NA NA
 300 40 2 0.1583274 1034.7370 586.7857 NA NA
 300 40 3 0.1586370  893.3016 526.2014 NA NA
 300 40 4 0.1575422 1025.8091 557.6701 NA NA
 300 40 5 0.1582495  971.5248 530.4233 NA NA
 300 40 6 0.1587644 1050.6247 620.7464 NA NA
 500 40 1 0.1800921 1445.465 815.1576 NA NA
 500 40 2 0.1797094 1353.187 727.5748 NA NA
 500 40 3 0.1795110 1384.228 798.0513 NA NA
 500 40 4 0.1765690 1479.598 784.9082 NA NA
 500 40 5 0.1798330 1331.989 756.2848 NA NA
 500 40 6 0.1784498 1194.463 704.5782 NA NA
 800 40 1 0.1991440 1146.467 611.4861 NA NA
