lact	mact	tissue	group	speed	pexp	phalf	pintmean	pintmedian
 200 30 stiff 1 0.04338879 20.97378 14.60276 NA NA
 200 30 stiff 2 0.04337426 20.38033 14.47471 NA NA
 200 30 stiff 3 0.04392170 21.57000 14.84437 NA NA
 200 30 stiff 4 0.04299016 20.27896 14.26992 NA NA
 500 30 stiff 1 0.08282209 82.24984 56.56779 NA NA
 500 30 stiff 2 0.08417771 79.27569 56.19977 NA NA
 500 30 stiff 3 0.08228393 77.16576 54.75080 NA NA
 500 30 stiff 4 0.08172745 74.49492 53.35684 NA NA
 1000 30 stiff 1 0.1558928 105.6690 74.08057 NA NA
 1000 30 stiff 2 0.1563910 110.4947 75.08692 NA NA
 1000 30 stiff 3 0.1541320 108.9293 73.53334 NA NA
 1000 30 stiff 4 0.1575413 107.7512 74.38341 NA NA
 1250 30 stiff 1 0.1686553 103.06134 68.46754 NA NA
 1250 30 stiff 2 0.1664609  96.98547 68.06335 NA NA
 1250 30 stiff 3 0.1690290  95.16599 67.86408 NA NA
 1250 30 stiff 4 0.1690546  99.82464 68.68335 NA NA
 1500 30 stiff 1 0.1786747 93.57791 64.87512 NA NA
 1500 30 stiff 2 0.1796479 96.35098 64.50960 NA NA
 1500 30 stiff 3 0.1805726 92.72695 63.43756 NA NA
 1500 30 stiff 4 0.1769597 94.90598 63.67126 NA NA
 1750 30 stiff 1 0.1890720 89.05635 60.32855 NA NA
 1750 30 stiff 2 0.1884867 83.87085 59.43277 NA NA
 1750 30 stiff 3 0.1942653 91.10292 59.99873 NA NA
 1750 30 stiff 4 0.1875584 92.04266 61.08633 NA NA
 2000 30 stiff 1 0.1965242 76.10909 46.60426 NA NA
 2000 30 stiff 2 0.1982763 81.20832 54.95274 NA NA
 2000 30 stiff 3 0.1952899 83.21035 53.76856 NA NA
 2000 30 stiff 4 0.1954497 80.18605 54.53810 NA NA
 2500 30 stiff 1 0.2214077 52.91748 21.27571 NA NA
 2500 30 stiff 2 0.2207169 46.61797 19.63000 NA NA
 2500 30 stiff 3 0.2249491 41.83411 15.30312 NA NA
 2500 30 stiff 4 0.2202352 52.52288 21.05573 NA NA
 100 100 stiff 1 0.04867574 126.3991 20.57665 NA NA
 100 100 stiff 2 0.04775931 111.5785 19.15466 NA NA
 100 100 stiff 3 0.04837793 122.2060 20.37788 NA NA
 100 100 stiff 4 0.04812622 129.9827 19.62914 NA NA
 200 100 stiff 1 0.08718016 223.0922 104.0822 NA NA
