n dBIC13 dBIC12 dBIC23 broken dmuRel mp mact lact
2 -17.5912637256672 5.71516931740211 -23.3064330430693 0 0.131072483905764 NA 0 0
1 -37.9962423725774 -25.9013242750525 -12.0949180975249 0 NA NA 0 0
1 -48.6297440444823 -25.1590393654428 -23.4707046790395 0 NA NA 0 0
1 -29.2821548535803 -2.8904365241317 -26.3917183294486 0 NA NA 0 0
1 -46.6926432377165 -26.4584586249966 -20.2341846127199 0 NA NA 0 0
1 -49.1274018560327 -25.6205612884478 -23.506840567585 0 NA NA 0 0
1 -43.3269843930559 -26.2900084102205 -17.0369759828354 0 NA NA 0 0
1 -46.3949939277907 -26.0826194940666 -20.312374433724 0 NA NA 0 0
1 -39.3198891014374 -14.9783362550538 -24.3415528463836 0 NA NA 0 0
1 -45.3454570748834 -26.4944790068773 -18.850978068006 0 NA NA 0 0
1 -41.4673438044388 -15.9077032406506 -25.5596405637882 0 NA NA 0 0
1 -45.8736754555885 -21.6169003166708 -24.2567751389176 0 NA NA 0 0
1 -49.0391460187968 -25.7287079754476 -23.3104380433492 0 NA NA 0 0
1 -33.9311595998206 -26.2448969290415 -7.68626267077912 0 NA NA 0 0
1 -49.6183769554268 -26.327209181097 -23.2911677743298 0 NA NA 0 0
1 -42.267746055199 -25.4365252097639 -16.8312208454352 0 NA NA 0 0
1 -49.3445930517923 -26.5595769269637 -22.7850161248286 0 NA NA 0 0
1 -39.5126177685052 -10.8599925623059 -28.6526252061992 0 NA NA 0 0
1 -28.3280231622323 -5.50712917127294 -22.8208939909593 0 NA NA 0 0
1 -43.3786806917151 -19.8398097138249 -23.5388709778902 0 NA NA 0 0
1 -44.1560772270757 -19.6103681827553 -24.5457090443203 0 NA NA 0 0
1 -50.2520641586884 -25.8042047814238 -24.4478593772646 0 NA NA 0 0
1 -51.2407345829524 -26.2234047099403 -25.0173298730122 0 NA NA 0 0
1 -43.9930292661029 -19.4939513731274 -24.4990778929755 0 NA NA 0 0
1 -49.4893381785319 -25.5949295975086 -23.8944085810233 0 NA NA 0 0
1 -44.0784548222384 -26.1784031095337 -17.9000517127047 0 NA NA 0 0
1 -38.032041352571 -25.4108285491898 -12.6212128033812 0 NA NA 0 0
1 -36.2736253687408 -16.7939440169812 -19.4796813517596 0 NA NA 0 0
1 -46.7958506911068 -26.3934851770625 -20.4023655140443 0 NA NA 0 0
1 -48.8294733076882 -26.1848530848972 -22.644620222791 0 NA NA 0 0
1 -47.5613248746374 -26.4080484820654 -21.153276392572 0 NA NA 3.333 0
1 -48.3689597823134 -25.3581565628781 -23.0108032194353 0 NA NA 3.333 0
1 -46.3594574493413 -26.1575258837991 -20.2019315655423 0 NA NA 3.333 0
1 -47.1493498913353 -25.7215624984187 -21.4277873929166 0 NA NA 3.333 0
1 -41.0304693443325 -13.6380726279931 -27.3923967163394 0 NA NA 3.333 0
1 -46.1652050412195 -20.0971153774226 -26.0680896637969 0 NA NA 3.333 0
1 -49.690976926682 -25.8882134653372 -23.8027634613447 0 NA NA 3.333 0
1 -37.8996845492366 -14.2104756152198 -23.6892089340167 0 NA NA 3.333 0
1 -49.5833513503778 -26.3295652445024 -23.2537861058754 0 NA NA 3.333 0
1 -45.5659593423245 -18.7738549953451 -26.7921043469794 0 NA NA 3.333 0
1 -43.4082802770456 -19.0705439850137 -24.3377362920319 0 NA NA 3.333 0
1 -31.3148808538151 -4.57961742965858 -26.7352634241565 0 NA NA 3.333 0
1 -45.6758300650474 -26.4585936143658 -19.2172364506816 0 NA NA 3.333 0
1 -47.1404464594812 -24.6117936483738 -22.5286528111073 0 NA NA 3.333 0
1 -46.7101847879658 -26.0415520278684 -20.6686327600974 0 NA NA 3.333 0
1 -50.7444204771068 -26.662454971264 -24.0819655058428 0 NA NA 3.333 0
1 -38.9851005965882 -26.402994099152 -12.5821064974361 0 NA NA 3.333 0
1 -44.6463804209741 -26.3877649207648 -18.2586155002093 0 NA NA 3.333 0
1 -46.3034400348797 -22.9221841580063 -23.3812558768734 0 NA NA 3.333 0
1 -42.8552787892504 -26.2545061103367 -16.6007726789137 0 NA NA 3.333 0
1 -41.5837657385728 -14.914172287153 -26.6695934514198 0 NA NA 3.333 0
1 -50.1722768839461 -25.9933855411357 -24.1788913428104 0 NA NA 3.333 0
1 -30.124824880716 -15.7938303783278 -14.3309945023882 0 NA NA 3.333 0
1 -39.0109194606541 -26.2402914963718 -12.7706279642823 0 NA NA 3.333 0
1 -50.5343577349356 -24.6976924215528 -25.8366653133828 0 NA NA 3.333 0
1 -41.6661947003063 -25.7174597599669 -15.9487349403394 0 NA NA 3.333 0
1 -45.7405104651666 -17.9471951221863 -27.7933153429803 0 NA NA 3.333 0
1 -39.957863182814 -12.6181572237042 -27.3397059591098 0 NA NA 3.333 0
1 -27.9349615333592 -8.62858775796667 -19.3063737753926 0 NA NA 3.333 0
1 -48.1382018538641 -25.2141512773758 -22.9240505764883 0 NA NA 3.333 0
1 -40.9754742220096 -26.4788009877595 -14.49667323425 0 NA NA 6.667 0
1 -41.7502728516533 -26.3363265136666 -15.4139463379868 0 NA NA 6.667 0
1 -43.8668724913277 -16.4568349621857 -27.4100375291421 0 NA NA 6.667 0
1 -49.9234408128802 -26.5963933029923 -23.327047509888 0 NA NA 6.667 0
1 -44.7295645463248 -25.6881131256603 -19.0414514206645 0 NA NA 6.667 0
1 -45.5872495776766 -26.6180789674906 -18.969170610186 0 NA NA 6.667 0
1 -51.1250304945193 -26.5914878187784 -24.5335426757408 0 NA NA 6.667 0
1 -45.1904424118645 -19.7499849730129 -25.4404574388516 0 NA NA 6.667 0
1 -45.0786155266997 -25.6138155820775 -19.4647999446222 0 NA NA 6.667 0
1 -46.9228463979014 -20.4548622774755 -26.4679841204259 0 NA NA 6.667 0
1 -49.2506485727174 -26.3464975222091 -22.9041510505083 0 NA NA 6.667 0
1 -35.9059048929828 -10.5686986854239 -25.3372062075589 0 NA NA 6.667 0
1 -48.9271483754376 -24.518429719534 -24.4087186559036 0 NA NA 6.667 0
1 -50.1678802802039 -26.6337542488679 -23.534126031336 0 NA NA 6.667 0
1 -44.5154839953675 -26.2644926807322 -18.2509913146353 0 NA NA 6.667 0
1 -44.1556016902998 -17.5774768892604 -26.5781248010394 0 NA NA 6.667 0
1 -46.666869470954 -20.3676126331848 -26.2992568377692 0 NA NA 6.667 0
1 -30.288643778051 -3.68247500596499 -26.606168772086 0 NA NA 6.667 0
1 -40.3661945730116 -26.1399692839616 -14.22622528905 0 NA NA 6.667 0
1 -51.3620431997447 -25.8228485806426 -25.5391946191021 0 NA NA 6.667 0
1 -33.7608356824287 -12.6368128521599 -21.1240228302688 0 NA NA 6.667 0
1 -49.9348463144383 -26.2921014537098 -23.6427448607285 0 NA NA 6.667 0
1 -46.0652710661329 -25.4359558869462 -20.6293151791867 0 NA NA 6.667 0
1 -39.8755005114376 -26.2261997129895 -13.6493007984482 0 NA NA 6.667 0
1 -48.2335653026189 -26.5579476234882 -21.6756176791307 0 NA NA 6.667 0
1 -38.1741252491408 -13.4925225231852 -24.6816027259556 0 NA NA 6.667 0
1 -48.5918178797424 -26.5045769237624 -22.08724095598 0 NA NA 6.667 0
1 -44.647914027388 -25.7541901288685 -18.8937238985195 0 NA NA 6.667 0
1 -47.4958453481745 -23.9754854952137 -23.5203598529608 0 NA NA 6.667 0
1 -25.6043964204816 -2.50319997702059 -23.101196443461 0 NA NA 6.667 0
1 -40.3052537050535 -13.4017105800372 -26.9035431250163 0 NA NA 10 0
1 -48.4145779080584 -26.0957350834628 -22.3188428245955 0 NA NA 10 0
1 -51.5877844905003 -26.2337247943058 -25.3540596961946 0 NA NA 10 0
1 -50.3831512104368 -26.655054616198 -23.7280965942389 0 NA NA 10 0
1 -50.2627939951619 -26.1249837801613 -24.1378102150006 0 NA NA 10 0
1 -47.1067270862263 -25.928358724045 -21.1783683621813 0 NA NA 10 0
1 -46.9580170063716 -25.9774667725849 -20.9805502337867 0 NA NA 10 0
